rule,css_selector,states,cities,state_list
listitem,#SideItem308,12,15,FL GA KS MI MO MS NY PA TX VA WI WY
listitem,#SideItem170,12,15,AZ CA CT GA MD MI NC ND TN TX VA WI
heading-order,.et_pb_text_1 > .et_pb_text_inner > h3,12,14,AL AZ CA GA IN MI MT NY TN UT WA WI
listitem,#SideItem166,12,14,CT FL KS MA MI NC NY OH OK TN VA VT
region,.gt-selected,12,13,CA CT IN MN NE NJ NY OH TX VA WA WI
listitem,#SideItem180,12,13,IN KS KY MD ME MO MT NE NJ NM NY TX
listitem,#SideItem151,12,13,AL CA GA KY MA MN MO NY OH SC TX VA
listitem,#SideItem150,12,13,AR CA CT FL MD MN MO NY OH TX VA WI
listitem,#SideItem172,12,12,AK CA FL IL NJ NM NY PA TN TX UT VA
landmark-no-duplicate-contentinfo,#footerDefault,11,92,ID MA MN MO NC NY OR UT VA VT WI
landmark-contentinfo-is-top-level,.bottom-footer,11,91,ID MA MN MO NC NY OR UT VA VT WI
landmark-contentinfo-is-top-level,.mt-3,11,88,ID MA MN MO NC NY OR UT VA VT WI
landmark-unique,.container > nav,11,33,AZ CO FL IA ID KS ME NH NY UT WV
region,.copy-right,11,24,AZ CO FL IA ID KS ME NH NY UT WV
color-contrast,"li:nth-child(1) > .pageNavParent.pageNavRoot[onpointerenter=""parentNavOver(event)""] > span",11,20,AL IL MI MN MO MS NE NY SC TX WI
label,.wpforms-recaptcha-hidden,11,20,AL AR CA LA MI NM NY OH UT WI WV
listitem,#SideItem164,11,19,CA CO FL GA MA MD NC NJ NY OH TX
region,#logo,11,19,CO IL MI MN MO NC NJ NY OH OK TX
button-name,.et_pb_menu__search-button,11,18,CA FL KS KY NH NY OH PA TN UT WV
region,#container,11,18,AL AR CA IL IN KY MA NC NY TN VT
aria-valid-attr-value,.alignCenter,11,17,FL GA HI MD ME MI NH PA TX UT WA
label,.em-month-picker,11,17,IL MN MO NY OH OR TN VA VT WI WV
listitem,#SideItem181,11,16,AL CA CO CT MA MI MN NJ NY TX WI
landmark-one-main,#facebook,11,16,AL FL GA IN KY MA MO NY SC TN WI
listitem,#SideItem309,11,16,CT IL MA MN MO MT NC NH NJ PA TX
landmark-no-duplicate-contentinfo,#footer,11,16,GA IA MI MO NC NY TX VA VT WI WV
landmark-unique,#header,11,16,AK KY MD ME MN MT NH NY OH TN VT
skip-link,#skip,11,16,AR CO CT IN MI MN NC NH NV NY TX
role-img-alt,.lazyloading,11,15,AZ CA FL IN MN NJ NM TX UT WA WV
landmark-unique,#footer,11,15,GA IA MI MO NC NY TX VA VT WI WV
aria-hidden-focus,#tns2-item2,11,15,AL FL IL MI MN NC NJ NY PA TX UT
listitem,#SideItem182,11,14,AZ CO KY MA MN NH NM NY OH OR TX
color-contrast,.et_pb_button_0,11,14,LA MI MN MO MT NH NJ NV NY OH TN
heading-order,.et_pb_text_2 > .et_pb_text_inner > h3,11,13,AZ GA KY MI NC NV NY TX UT WA WI
region,.focusable,11,13,FL GA MD MN MO NC NE NY OK RI TN
